Sr No,Graduate Certificate,Course Name,Course Code,Start Date,End Date,Duration (Days),Room,Teacher,Run
1,Intelligent Reasoning Systems,Reasoning Systems,IRS-01,04 Jan 2027,08 Jan 2027,5,Integration,AK,Run 1
2,Intelligent Reasoning Systems,Cognitive Systems,IRS-02,18 Jan 2027,20 Jan 2027,3,Integrity,KL,Run 1
3,Practical Language Processing,Text Analytics,PLP-04,25 Jan 2027,27 Jan 2027,3,Visionary,SW,Run 2
4,Intelligent Reasoning Systems,Machine Reasoning,IRS-03,01 Feb 2027,04 Feb 2027,4,Frontier,DC,Run 1
5,Intelligent Financial Risk Management,Advanced Machine Learning for Financial Services,IFR-01,08 Feb 2027,11 Feb 2027,4,Integration,AK,Run 2
6,Pattern Recognition Systems,Intelligent Sensing and Sense Making,PRS-01,15 Feb 2027,18 Feb 2027,4,Blue Ocean,ET,Run 1
7,Intelligent Financial Risk Management,Explainable & Responsible AI for Finance,IFR-02,22 Feb 2027,24 Feb 2027,3,Integrity,KL,Run 2
8,Pattern Recognition Systems,Pattern Recognition and Machine Learning Systems,PRS-02,01 Mar 2027,05 Mar 2027,5,Board Room,CK,Run 1
9,Intelligent Financial Risk Management,Credit Risk Modelling and Analytics,IFR-03,08 Mar 2027,11 Mar 2027,4,Frontier,DC,Run 2
10,Pattern Recognition Systems,Problem Solving using Pattern Recognition,PRS-03,15 Mar 2027,19 Mar 2027,5,Innovation,SP,Run 1
11,Intelligent Financial Risk Management,Alternative Data for Fintech Innovation,IFR-04,22 Mar 2027,24 Mar 2027,3,Blue Ocean,ET,Run 2
12,Intelligent Robotic Systems,Robotic Systems,IROb-01,29 Mar 2027,02 Apr 2027,5,Horizon,AC,Run 1
13,Architecting AI Systems,Explainable and Responsible Artificial Intelligence,AAS-01,05 Apr 2027,07 Apr 2027,3,Board Room,CK,Run 2
14,Intelligent Robotic Systems,Autonomous Robots and Vehicles,IROb-02,12 Apr 2027,16 Apr 2027,5,Nexus,SW,Run 1
15,Architecting AI Systems,AI and Cybersecurity,AAS-02,19 Apr 2027,21 Apr 2027,3,Innovation,SP,Run 2
16,Intelligent Robotic Systems,Human-Robot System Engineering,IROb-03,26 Apr 2027,29 Apr 2027,4,Catalyst,AK,Run 1
17,Architecting AI Systems,Architecting Agentic AI Solutions,AAS-03,03 May 2027,06 May 2027,4,Horizon,AC,Run 2
18,Intelligent Sensing Systems,Vision Systems,ISS-01,10 May 2027,14 May 2027,5,Visionary,KL,Run 1
19,Architecting AI Systems,Deploying and Operating AI Solutions,AAS-04,17 May 2027,19 May 2027,3,Nexus,SW,Run 2
20,Intelligent Sensing Systems,Spatial Reasoning from Sensor Data,ISS-02,24 May 2027,26 May 2027,3,Integration,DC,Run 1
21,Intelligent Sensing Systems,Real Time Audio-Visual Sensing and Sense Making,ISS-03,07 Jun 2027,10 Jun 2027,4,Integrity,ET,Run 1
22,Practical Language Processing,Text Processing using Machine Learning,PLP-01,21 Jun 2027,24 Jun 2027,4,Frontier,CK,Run 1
23,Practical Language Processing,New Media and Sentiment Mining,PLP-02,05 Jul 2027,07 Jul 2027,3,Blue Ocean,SP,Run 1
24,Practical Language Processing,Conversational UIs,PLP-03,19 Jul 2027,22 Jul 2027,4,Board Room,AC,Run 1
25,Practical Language Processing,Text Analytics,PLP-04,02 Aug 2027,04 Aug 2027,3,Innovation,SW,Run 1
26,Intelligent Financial Risk Management,Advanced Machine Learning for Financial Services,IFR-01,16 Aug 2027,19 Aug 2027,4,Horizon,AK,Run 1
27,Intelligent Financial Risk Management,Explainable & Responsible AI for Finance,IFR-02,30 Aug 2027,01 Sep 2027,3,Nexus,KL,Run 1
28,Intelligent Financial Risk Management,Credit Risk Modelling and Analytics,IFR-03,13 Sep 2027,16 Sep 2027,4,Catalyst,DC,Run 1
29,Intelligent Financial Risk Management,Alternative Data for Fintech Innovation,IFR-04,27 Sep 2027,29 Sep 2027,3,Visionary,ET,Run 1
